# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  140       5.440273970595e-10       1.504238845629e-13      -5.998776326465e-12       0.000000000000e+00       4.064698297587e-12       6.892116381709e-13      -4.559853716975e-15 
  141       5.486391823858e-10       1.503848481887e-13      -6.033495168005e-12       0.000000000000e+00       3.983988760213e-12       6.786369650926e-13      -4.492531206933e-15 
  142       5.532379519223e-10       1.502796528633e-13      -6.065462199392e-12       0.000000000000e+00       3.905293259282e-12       6.682973465123e-13      -4.425992529342e-15 
  143       5.578220355582e-10       1.501085742832e-13      -6.094619716216e-12       0.000000000000e+00       3.828451789516e-12       6.581825955215e-13      -4.360271725717e-15 
  144       5.623898216467e-10       1.498719873104e-13      -6.120911589002e-12       0.000000000000e+00       3.753321790633e-12       6.482831952348e-13      -4.295390687560e-15 
  145       5.669401818168e-10       1.495704074658e-13      -6.144285031193e-12       0.000000000000e+00       3.679883240501e-12       6.385971632854e-13      -4.231330928592e-15 
  146       5.714720852241e-10       1.492044567734e-13      -6.164689077213e-12       0.000000000000e+00       3.608143320233e-12       6.291238016346e-13      -4.168058834559e-15 
  147       5.759844644643e-10       1.487748530910e-13      -6.182074081980e-12       0.000000000000e+00       3.538103308296e-12       6.198615182358e-13      -4.105534309296e-15 
  148       5.804762147763e-10       1.482824118820e-13      -6.196391761424e-12       0.000000000000e+00       3.469758432942e-12       6.108078052735e-13      -4.043710626945e-15 
  149       5.849461932441e-10       1.477280479867e-13      -6.207595232997e-12       0.000000000000e+00       3.403097724653e-12       6.019592174031e-13      -3.982534284187e-15 
  150       5.893932180000e-10       1.471127773934e-13      -6.215639056185e-12       0.000000000000e+00       3.338103868573e-12       5.933113499894e-13      -3.921944852459e-15 
  151       5.938160674267e-10       1.464377190103e-13      -6.220479273023e-12       0.000000000000e+00       3.274753056943e-12       5.848588173464e-13      -3.861874830185e-15 
  152       5.982134793598e-10       1.457040964364e-13      -6.222073448605e-12       0.000000000000e+00       3.213014841544e-12       5.765952309764e-13      -3.802249494998e-15 
