# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.520076164428e-01       4.011534888048e+02 
       4.552135586988e-01       3.953983053838e+02 
       4.584195011754e-01       3.897061063169e+02 
       4.616254438679e-01       3.840771045059e+02 
       4.648313867718e-01       3.785134059388e+02 
       4.680373298828e-01       3.730270032678e+02 
       4.712432731967e-01       3.676157517249e+02 
       4.744492167094e-01       3.622880186121e+02 
       4.776551604167e-01       3.570683546045e+02 
       4.808611043148e-01       3.519327282322e+02 
       4.840670483999e-01       3.469134815786e+02 
       4.872729926684e-01       3.420159794306e+02 
       4.904789371165e-01       3.372470048447e+02 
       4.936848817408e-01       3.326095075945e+02 
       4.968908265378e-01       3.280940186559e+02 
       5.000967715043e-01       3.236908123949e+02 
       5.033027166370e-01       3.193870278578e+02 
       5.065086619327e-01       3.151744072620e+02 
       5.097146073883e-01       3.110435800470e+02 
       5.129205530008e-01       3.069792903811e+02 
       5.161264987673e-01       3.029965969656e+02 
       5.193324446849e-01       2.990779228216e+02 
       5.225383907508e-01       2.952295101359e+02 
       5.257443369624e-01       2.914161303884e+02 
       5.289502833169e-01       2.876530996730e+02 
       5.321562298118e-01       2.839395502267e+02 
       5.353621764446e-01       2.802818587664e+02 
       5.385681232127e-01       2.766798900586e+02 
       5.417740701137e-01       2.731311650567e+02 
       5.449800171454e-01       2.696702337203e+02 
       5.481859643053e-01       2.662653215303e+02 
       5.513919115913e-01       2.629260519423e+02 
       5.545978590012e-01       2.596473712676e+02 
       5.578038065329e-01       2.564302446320e+02 
       5.610097541841e-01       2.532766399775e+02 
       5.642157019529e-01       2.501859141065e+02 
       5.674216498374e-01       2.471550232091e+02 
       5.706275978354e-01       2.441841834067e+02 
       5.738335459452e-01       2.412671867459e+02 
       5.770394941649e-01       2.383993237704e+02 
       5.802454424926e-01       2.355765350322e+02 
       5.834513909265e-01       2.327964212434e+02 
       5.866573394649e-01       2.300584823734e+02 
       5.898632881062e-01       2.273631048616e+02 
       5.930692368485e-01       2.247099436239e+02 
       5.962751856903e-01       2.220976572892e+02 
       5.994811346301e-01       2.195243549660e+02 
       6.026870836661e-01       2.169878801606e+02 
       6.058930327969e-01       2.144871971830e+02 
       6.090989820210e-01       2.120231092024e+02 
       6.123049313370e-01       2.095972472273e+02 
       6.155108807433e-01       2.072117673930e+02 
       6.187168302385e-01       2.048677373151e+02 
       6.219227798214e-01       2.025646812401e+02 
       6.251287294905e-01       2.003006070514e+02 
       6.283346792445e-01       1.980731892326e+02 
       6.315406290821e-01       1.958808171097e+02 
       6.347465790021e-01       1.937222464851e+02 
       6.379525290032e-01       1.915985567968e+02 
       6.411584790842e-01       1.895092913436e+02 
       6.443644292438e-01       1.874542158158e+02 
       6.475703794810e-01       1.854313678850e+02 
       6.507763297945e-01       1.834386042755e+02 
       6.539822801833e-01       1.814737307034e+02 
       6.571882306463e-01       1.795351370961e+02 
       6.603941811822e-01       1.776228551579e+02 
       6.636001317902e-01       1.757376517209e+02 
       6.668060824692e-01       1.738802866547e+02 
       6.700120332180e-01       1.720510141544e+02 
       6.732179840358e-01       1.702498246435e+02 
       6.764239349216e-01       1.684742509730e+02 
       6.796298858743e-01       1.667232289749e+02 
       6.828358368931e-01       1.649961748619e+02 
       6.860417879770e-01       1.632933548321e+02 
       6.892477391251e-01       1.616154530656e+02 
       6.924536903365e-01       1.599633111978e+02 
       6.956596416103e-01       1.583366879484e+02 
       6.988655929457e-01       1.567348697621e+02 
       7.020715443418e-01       1.551563409040e+02 
       7.052774957978e-01       1.535994354944e+02 
       7.084834473129e-01       1.520631616424e+02 
       7.116893988863e-01       1.505475421375e+02 
       7.148953505171e-01       1.490529424309e+02 
       7.181013022047e-01       1.475798445404e+02 
       7.213072539483e-01       1.461280425477e+02 
       7.245132057470e-01       1.446966109631e+02 
       7.277191576003e-01       1.432843346205e+02 
       7.309251095073e-01       1.418899885539e+02 
       7.341310614674e-01       1.405132192129e+02 
       7.373370134799e-01       1.391537350394e+02 
       7.405429655440e-01       1.378130988740e+02 
       7.437489176592e-01       1.364907844939e+02 
       7.469548698247e-01       1.351872725586e+02 
       7.501608220399e-01       1.339019721711e+02 
       7.533667743042e-01       1.326336777455e+02 
       8.234874546132e-01       1.086168721799e+02 
       9.251239617262e-01       8.340952938341e+01 
       1.086877467278e+00       5.758170091749e+01 
