# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.642696265390e-02       1.408287758824e+04 
       3.659455351750e-02       1.401696954042e+04 
       3.676308671777e-02       1.395130216691e+04 
       3.693259156178e-02       1.388590644731e+04 
       3.710309853825e-02       1.382083141658e+04 
       3.727463937958e-02       1.375598466342e+04 
       3.744724712806e-02       1.369138103080e+04 
       3.762095620655e-02       1.362705057311e+04 
       3.779580249384e-02       1.356297562625e+04 
       3.797182340532e-02       1.349908261862e+04 
       3.814905797920e-02       1.343547158684e+04 
       3.832754696881e-02       1.337204293216e+04 
       3.850733294155e-02       1.330888298706e+04 
       3.868846038503e-02       1.324588994644e+04 
       3.887097582099e-02       1.318314534989e+04 
       3.905492792772e-02       1.312057798057e+04 
       3.924036767181e-02       1.305825069938e+04 
       3.942734845002e-02       1.299609427422e+04 
       3.961592624212e-02       1.293408392627e+04 
       3.980615977603e-02       1.287232920125e+04 
       3.999811070601e-02       1.281071807268e+04 
       4.019184380562e-02       1.274929443908e+04 
       4.038742717651e-02       1.268804502269e+04 
       4.058493247495e-02       1.262694239224e+04 
       4.078443515766e-02       1.256604762898e+04 
       4.098601474905e-02       1.250527275298e+04 
       4.118975513222e-02       1.244466608202e+04 
       4.139574486601e-02       1.238413323705e+04 
       4.160407753115e-02       1.232377840862e+04 
       4.181485210868e-02       1.226354800210e+04 
       4.202817339422e-02       1.220346944231e+04 
       4.224415245219e-02       1.214347514168e+04 
       4.246290711476e-02       1.208364048783e+04 
       4.268456253072e-02       1.202382138310e+04 
       4.290925177035e-02       1.196420567432e+04 
       4.313711649317e-02       1.190461620058e+04 
       4.336830768659e-02       1.184515382439e+04 
       4.360298648432e-02       1.178569055580e+04 
       4.384132507522e-02       1.172635381536e+04 
       4.408350771437e-02       1.166702675995e+04 
       4.432973185061e-02       1.160779373331e+04 
