# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   83       2.669686442669e-10       6.415513150593e-14      -1.889352483170e-12       0.000000000000e+00       1.558368238710e-11       1.778802209436e-12      -7.915333640371e-15 
   84       2.709652009573e-10       6.605282595256e-14      -1.964044349070e-12       0.000000000000e+00       1.510645816813e-11       1.730783200811e-12      -7.837561294914e-15 
   85       2.749881628265e-10       6.795962197419e-14      -2.039576373907e-12       0.000000000000e+00       1.464663484840e-11       1.684810045031e-12      -7.772658015254e-15 
   86       2.790375927818e-10       6.987401118616e-14      -2.115901936860e-12       0.000000000000e+00       1.420417561211e-11       1.640819873791e-12      -7.718916844212e-15 
   87       2.831134257824e-10       7.179444569854e-14      -2.192973171588e-12       0.000000000000e+00       1.377884322109e-11       1.598722199601e-12      -7.674377864788e-15 
   88       2.872154620563e-10       7.371933820987e-14      -2.270740981896e-12       0.000000000000e+00       1.337019172999e-11       1.558397845551e-12      -7.636819828108e-15 
   89       2.913433603187e-10       7.564706210103e-14      -2.349155057384e-12       0.000000000000e+00       1.297755820161e-11       1.519697875069e-12      -7.603751781385e-15 
   90       2.954966309883e-10       7.757595152900e-14      -2.428163889109e-12       0.000000000000e+00       1.260005442222e-11       1.482442521690e-12      -7.572404695863e-15 
   91       2.996746294056e-10       7.950430152069e-14      -2.507714785241e-12       0.000000000000e+00       1.223655861678e-11       1.446420118811e-12      -7.539723094778e-15 
   92       3.038765490498e-10       8.143036806670e-14      -2.587753886722e-12       0.000000000000e+00       1.188570716430e-11       1.411386029458e-12      -7.502356681307e-15 
   93       3.081016178013e-10       8.335239151585e-14      -2.668226306406e-12       0.000000000000e+00       1.154621603311e-11       1.377119268589e-12      -7.457416099747e-15 
   94       3.123497352259e-10       8.526867057959e-14      -2.749076536426e-12       0.000000000000e+00       1.121791838241e-11       1.343604436085e-12      -7.404888426916e-15 
   95       3.166209190434e-10       8.717749968303e-14      -2.830248131330e-12       0.000000000000e+00       1.090086842461e-11       1.310875295052e-12      -7.345571182162e-15 
   96       3.209151066820e-10       8.907714706416e-14      -2.911683607173e-12       0.000000000000e+00       1.059502190183e-11       1.278959242781e-12      -7.280342652715e-15 
   97       3.252321512820e-10       9.096585518749e-14      -2.993324458872e-12       0.000000000000e+00       1.030023232714e-11       1.247877032441e-12      -7.210164010767e-15 
   98       3.295718177008e-10       9.284184115769e-14      -3.075111177557e-12       0.000000000000e+00       1.001624722588e-11       1.217642494785e-12      -7.136081430558e-15 
   99       3.339337785175e-10       9.470329713321e-14      -3.156983267923e-12       0.000000000000e+00       9.742704377010e-12       1.188262259842e-12      -7.059228205463e-15 
  100       3.383176100374e-10       9.654839074000e-14      -3.238879265585e-12       0.000000000000e+00       9.479128054340e-12       1.159735478621e-12      -6.980826865073e-15 
  101       3.427227882965e-10       9.837526548509e-14      -3.320736754425e-12       0.000000000000e+00       9.224925267877e-12       1.132053544804e-12      -6.902191292283e-15 
  102       3.471486850660e-10       1.001820411703e-13      -3.402492383952e-12       0.000000000000e+00       8.979382005111e-12       1.105199816447e-12      -6.824728840374e-15 
  103       3.515945638575e-10       1.019668143058e-13      -3.484081886648e-12       0.000000000000e+00       8.741659472318e-12       1.079149337677e-12      -6.749942450096e-15 
  104       3.560596940234e-10       1.037277066903e-13      -3.565440595201e-12       0.000000000000e+00       8.510982793871e-12       1.053876584546e-12      -6.679112098543e-15 
  105       3.605437192221e-10       1.054630177350e-13      -3.646505036395e-12       0.000000000000e+00       8.287244236511e-12       1.029380493661e-12      -6.612285578027e-15 
  106       3.650463315103e-10       1.071710935830e-13      -3.727211585882e-12       0.000000000000e+00       8.070474843940e-12       1.005662311461e-12      -6.549154698325e-15 
  107       3.695671550261e-10       1.088502817123e-13      -3.807496010104e-12       0.000000000000e+00       7.860657631515e-12       9.827176841552e-13      -6.489362390955e-15 
  108       3.741057432916e-10       1.104989318785e-13      -3.887293489135e-12       0.000000000000e+00       7.657725942480e-12       9.605364675954e-13      -6.432501302430e-15 
  109       3.786615765146e-10       1.121153970580e-13      -3.966538639532e-12       0.000000000000e+00       7.461561804181e-12       9.391025371538e-13      -6.378112387517e-15 
  110       3.832340588915e-10       1.136980343907e-13      -4.045165537173e-12       0.000000000000e+00       7.271994284300e-12       9.183935975986e-13      -6.325683502496e-15 
  111       3.878225159096e-10       1.152452061231e-13      -4.123107740112e-12       0.000000000000e+00       7.088797847069e-12       8.983809929695e-13      -6.274647998416e-15 
  112       3.924261916490e-10       1.167552805510e-13      -4.200298311416e-12       0.000000000000e+00       6.911690709505e-12       8.790295164540e-13      -6.224383314357e-15 
  113       3.970442460857e-10       1.182266329629e-13      -4.276669842014e-12       0.000000000000e+00       6.740333197626e-12       8.602972202629e-13      -6.174209570683e-15 
  114       4.016757523930e-10       1.196576465826e-13      -4.352154473546e-12       0.000000000000e+00       6.574326102678e-12       8.421352255061e-13      -6.123388162302e-15 
  115       4.063196942447e-10       1.210467135122e-13      -4.426683921203e-12       0.000000000000e+00       6.413209037363e-12       8.244875320689e-13      -6.071120351925e-15 
  116       4.109750780034e-10       1.223922796250e-13      -4.500190171518e-12       0.000000000000e+00       6.256560390102e-12       8.073024931426e-13      -6.016715578894e-15 
  117       4.156412905283e-10       1.236929834187e-13      -4.572607623141e-12       0.000000000000e+00       6.104314488921e-12       7.905692279841e-13      -5.960122608195e-15 
  118       4.203177800071e-10       1.249475358938e-13      -4.643871250452e-12       0.000000000000e+00       5.956480091443e-12       7.742852998441e-13      -5.901460618091e-15 
  119       4.250039432980e-10       1.261546794306e-13      -4.713915980410e-12       0.000000000000e+00       5.813041499835e-12       7.584453613953e-13      -5.840855355626e-15 
  120       4.296991242485e-10       1.273131891216e-13      -4.782676721363e-12       0.000000000000e+00       5.673957815334e-12       7.430410677447e-13      -5.778439230458e-15 
  121       4.344026120131e-10       1.284218741022e-13      -4.850088391865e-12       0.000000000000e+00       5.539162192778e-12       7.280609894448e-13      -5.714351408702e-15 
  122       4.391136393714e-10       1.294795788830e-13      -4.916085949488e-12       0.000000000000e+00       5.408561095129e-12       7.134905255056e-13      -5.648737906760e-15 
  123       4.438313810467e-10       1.304851846810e-13      -4.980604419632e-12       0.000000000000e+00       5.282033548004e-12       6.993118164057e-13      -5.581751685167e-15 
  124       4.485549520237e-10       1.314376107509e-13      -5.043578924345e-12       0.000000000000e+00       5.159430394197e-12       6.855036571044e-13      -5.513552742426e-15 
  125       4.532834058668e-10       1.323358157172e-13      -5.104944711129e-12       0.000000000000e+00       5.040573548211e-12       6.720414100530e-13      -5.444308208841e-15 
  126       4.580157330381e-10       1.331787989053e-13      -5.164637181759e-12       0.000000000000e+00       4.925255250784e-12       6.588969182065e-13      -5.374192440361e-15 
  127       4.627508592159e-10       1.339656016731e-13      -5.222591921092e-12       0.000000000000e+00       4.813237323414e-12       6.460384180352e-13      -5.303387112417e-15 
  128       4.674876436124e-10       1.346953087429e-13      -5.278744725883e-12       0.000000000000e+00       4.704250422888e-12       6.334304525364e-13      -5.232081313755e-15 
  129       4.722249636637e-10       1.353670871145e-13      -5.333032153825e-12       0.000000000000e+00       4.598051258258e-12       6.210422195976e-13      -5.160453836562e-15 
  130       4.769619831739e-10       1.359803048051e-13      -5.385393177560e-12       0.000000000000e+00       4.494602921855e-12       6.088738373082e-13      -5.088617650937e-15 
  131       4.816979105454e-10       1.365344277123e-13      -5.435767767411e-12       0.000000000000e+00       4.393913024109e-12       5.969328090077e-13      -5.016669488179e-15 
  132       4.864319139907e-10       1.370289847847e-13      -5.484096419636e-12       0.000000000000e+00       4.295977176930e-12       5.852258198486e-13      -4.944707065263e-15 
  133       4.911631204683e-10       1.374635696220e-13      -5.530320188961e-12       0.000000000000e+00       4.200778662996e-12       5.737587101687e-13      -4.872829051277e-15 
  134       4.958906146196e-10       1.378378420761e-13      -5.574380721120e-12       0.000000000000e+00       4.108288105036e-12       5.625364488630e-13      -4.801135033867e-15 
  135       5.006134377042e-10       1.381515298506e-13      -5.616220285389e-12       0.000000000000e+00       4.018463135116e-12       5.515631067553e-13      -4.729725485676e-15 
  136       5.053305865368e-10       1.384044301022e-13      -5.655781807120e-12       0.000000000000e+00       3.931248063925e-12       5.408418299706e-13      -4.658701730785e-15 
