# Matter power spectrum P(k) at redshift z=0
# for k=1.05305e-05 to 1.16662 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.306673664143e-02       1.139952931324e+04 
       5.366070316527e-02       1.130875495841e+04 
       5.429248337758e-02       1.121561491010e+04 
       5.496715319746e-02       1.111971338289e+04 
       5.569073027060e-02       1.102054841027e+04 
       5.647037996555e-02       1.091754204139e+04 
       5.731466326541e-02       1.080989808876e+04 
       5.823382647623e-02       1.069658558953e+04 
       5.924012177204e-02       1.057620980491e+04 
       6.034812452728e-02       1.044706720310e+04 
       6.157496905067e-02       1.030668590628e+04 
       6.294034727673e-02       1.015186202936e+04 
       6.446599936976e-02       9.978360175368e+03 
       6.617429650261e-02       9.780778472936e+03 
       6.808548420241e-02       9.552646170117e+03 
       7.021346359843e-02       9.287025333390e+03 
       7.256090345415e-02       8.978002767551e+03 
       7.511577843302e-02       8.622857445712e+03 
       7.785185971011e-02       8.224275050560e+03 
       8.073385786409e-02       7.791405332561e+03 
       8.372482237196e-02       7.338922847703e+03 
       8.679219394189e-02       6.884451807507e+03 
       8.991062883045e-02       6.445543871696e+03 
       9.306204604452e-02       6.037188571627e+03 
       9.623428494875e-02       5.670262546880e+03 
       9.941947631073e-02       5.350968315803e+03 
       1.026126515487e-01       5.080981473485e+03 
       1.058107213533e-01       4.858055728909e+03 
       1.090117829624e-01       4.676853546614e+03 
       1.122146711256e-01       4.529806585514e+03 
       1.154186746556e-01       4.408041715414e+03 
       1.186233603138e-01       4.302189923428e+03 
       1.218284644156e-01       4.203238922456e+03 
       1.250338264981e-01       4.103318907075e+03 
       1.282393488650e-01       3.996329470234e+03 
       1.314449719658e-01       3.878421050168e+03 
       1.346506594288e-01       3.748131473575e+03 
       1.378563889698e-01       3.606316436228e+03 
       1.410621468707e-01       3.455715884120e+03 
       1.442679246271e-01       3.300377778388e+03 
       1.474737169130e-01       3.145002141623e+03 
       1.506795203441e-01       2.994293339064e+03 
       1.538853327261e-01       2.852420811969e+03 
       1.570911525978e-01       2.722646640812e+03 
       1.602969789528e-01       2.607077557003e+03 
       1.635028110697e-01       2.506615463682e+03 
       1.667086484081e-01       2.421016766675e+03 
       1.699144905452e-01       2.349020315817e+03 
       1.731203371360e-01       2.288605520049e+03 
       1.763261878895e-01       2.237198581512e+03 
       1.795320425525e-01       2.191968088156e+03 
       1.827379009004e-01       2.150221932281e+03 
       1.859437627307e-01       2.109654469743e+03 
       1.891496278584e-01       2.067585649369e+03 
       1.923554961136e-01       2.022350019846e+03 
       1.955613673388e-01       1.973014875648e+03 
       1.987672413878e-01       1.919422040561e+03 
       2.019731181241e-01       1.862129821605e+03 
       2.051789974204e-01       1.802269054433e+03 
       2.083848791571e-01       1.741248144446e+03 
       2.115907632225e-01       1.680635435980e+03 
       2.147966495113e-01       1.621848883939e+03 
       2.180025379246e-01       1.566101240866e+03 
       2.212084283694e-01       1.514281455392e+03 
       2.244143207580e-01       1.466997299312e+03 
       2.276202150076e-01       1.424518868663e+03 
       2.308261110402e-01       1.386817955767e+03 
       2.340320087820e-01       1.353575014525e+03 
       2.372379081632e-01       1.324210449154e+03 
       2.404438091178e-01       1.297937719524e+03 
       2.436497115833e-01       1.273862714255e+03 
       2.468556155005e-01       1.251062387501e+03 
       2.500615208132e-01       1.228694940132e+03 
       2.532674274679e-01       1.206078688838e+03 
       2.564733354142e-01       1.182725938603e+03 
       2.596792446039e-01       1.158363976170e+03 
       2.628851549912e-01       1.132913970003e+03 
       2.660910665325e-01       1.106475397462e+03 
       2.692969791864e-01       1.079293918575e+03 
       2.725028929134e-01       1.051733845978e+03 
       2.757088076759e-01       1.024237928841e+03 
       2.789147234380e-01       9.972786102183e+02 
       2.821206401653e-01       9.713034366524e+02 
       2.853265578252e-01       9.466818229213e+02 
       2.885324763863e-01       9.236646372232e+02 
       2.917383958189e-01       9.023635586959e+02 
       2.949443160944e-01       8.827627675393e+02 
       2.981502371854e-01       8.647425259528e+02 
       3.013561590657e-01       8.481074391492e+02 
       3.045620817104e-01       8.326221971985e+02 
       3.077680050953e-01       8.180257888302e+02 
       3.109739291975e-01       8.040486162097e+02 
       3.141798539950e-01       7.904392338188e+02 
       3.173857794664e-01       7.769637867315e+02 
       3.205917055916e-01       7.634348510042e+02 
       3.237976323510e-01       7.497263754516e+02 
       3.270035597259e-01       7.357852459679e+02 
       3.302094876981e-01       7.216327426376e+02 
       3.334154162506e-01       7.073426303781e+02 
       3.366213453665e-01       6.930368632075e+02 
       3.398272750298e-01       6.788453940270e+02 
       3.430332052252e-01       6.649012646671e+02 
       3.462391359378e-01       6.513190129248e+02 
       3.494450671533e-01       6.382007779083e+02 
       3.526509988578e-01       6.256257486359e+02 
       3.558569310383e-01       6.136485561222e+02 
       3.590628636817e-01       6.022973560973e+02 
       3.622687967758e-01       5.915621417529e+02 
       3.654747303087e-01       5.813971796343e+02 
       3.686806642689e-01       5.717290851558e+02 
       3.718865986452e-01       5.624653868815e+02 
       3.750925334270e-01       5.535074341592e+02 
       3.782984686040e-01       5.447656796351e+02 
       3.815044041660e-01       5.361696687326e+02 
       3.847103401034e-01       5.276663745868e+02 
       3.879162764070e-01       5.192219915318e+02 
       3.911222130676e-01       5.108167434876e+02 
       3.943281500765e-01       5.024421706949e+02 
       3.975340874253e-01       4.941029833296e+02 
       4.007400251057e-01       4.858170209651e+02 
       4.039459631099e-01       4.776138541712e+02 
       4.071519014301e-01       4.695324027544e+02 
       4.103578400589e-01       4.616144111730e+02 
       4.135637789892e-01       4.538957882271e+02 
       4.167697182139e-01       4.464032399251e+02 
       4.199756577262e-01       4.391478929011e+02 
       4.231815975196e-01       4.321330459846e+02 
       4.263875375878e-01       4.253524380558e+02 
       4.295934779246e-01       4.187966970389e+02 
       4.327994185239e-01       4.124541183944e+02 
       4.360053593799e-01       4.063111548602e+02 
       4.392113004871e-01       4.003497064537e+02 
       4.424172418400e-01       3.945463428343e+02 
       4.456231834331e-01       3.888739913112e+02 
       4.488291252614e-01       3.833060834241e+02 
       4.520350673198e-01       3.778192242142e+02 
       4.552410096035e-01       3.723987739516e+02 
       4.584469521077e-01       3.670376226469e+02 
       4.616528948277e-01       3.617360453663e+02 
       4.648588377592e-01       3.564979175003e+02 
       4.680647808978e-01       3.513279933627e+02 
       4.712707242391e-01       3.462314293401e+02 
       4.744766677792e-01       3.412137689287e+02 
       4.776826115139e-01       3.362823191244e+02 
       4.808885554394e-01       3.314465426970e+02 
       4.840944995519e-01       3.267178356576e+02 
       4.873004438476e-01       3.221058912544e+02 
       4.905063883230e-01       3.176161170146e+02 
       4.937123329745e-01       3.132480455027e+02 
       4.969182777988e-01       3.089958913811e+02 
       5.001242227925e-01       3.048493170189e+02 
       5.033301679523e-01       3.007977698790e+02 
       5.065361132751e-01       2.968315565890e+02 
       5.097420587578e-01       2.929429264963e+02 
       5.129480043974e-01       2.891261438825e+02 
       5.161539501909e-01       2.853752205650e+02 
       5.193598961356e-01       2.816845591223e+02 
       5.225658422285e-01       2.780467670627e+02 
       5.257717884671e-01       2.744570436364e+02 
